,name,ratings,no_of_ratings,discount_price,actual_price,brand,size,color,resolution,type
527,Samsung 163 cm (65 inches) 4K Ultra HD Smart Neo QLED TV QA65QN90BAKLXL (Titan Black),4.0,18,199900.0,304900.0,SAMSUNG,65.0,BLACK,4K,Smart TV
528,AKAI 127 cm (50 Inches) 4K Ultra HD Smart LED Fire TV AKLT50U-F7VSW (Black) (2021 Model),4.0,18,37999.0,63990.0,AKAI,50.0,BLACK,4K,Smart TV
529,Salora 98 cm (39 Inches) HD Ready Smart LED TV SLV-4392 SH (Black) (2021 Model),,,,,Generic,39.0,BLACK,HD,Smart TV
530,Onida 123.20 cm (50 inches) 4K UHD LED Smart TV 50UIB1 (Black),3.7,22,49037.0,68990.0,ONIDA,50.0,BLACK,4K,Smart TV
531,X Electron 80 cm (32 inch) HD Ready Smart Android LED TV with Soundbar 32XETV (Black),4.3,12,,,Generic,32.0,BLACK,HD,Smart TV
532,Compaq 109 cm (43 inches) HUEQ A Series 4K Ultra HD Smart LED TV CQW43UD (Black),4.1,26,26240.0,30999.0,COMPAQ,43.0,BLACK,4K,Smart TV
533,"Cornea Frameless 218 cm (85 inch) 4K Ultra HD Smart Android LED TV, Black (2022 Model) (with No Cost EMI Offer on All Majo...",4.2,8,193999.0,299999.0,CORNEA,85.0,BLACK,4K,Smart TV
534,"Cornea Bezelless 110 cm (43 inch) Full HD Smart Android LED TV, Black (2022 Model) (with No Cost EMI Offer on All Major Ba...",3.6,14,19499.0,29999.0,CORNEA,43.0,BLACK,FULL HD,Smart TV
535,"Haier 80 cm (32 Inches) Smart HD Ready LED TV, LE32W2000, Black",3.0,2,,,Generic,32.0,BLACK,HD,Smart TV
536,Samsung 138 cm (55 inches) 4K Ultra HD Smart QLED TV QA55Q80TAKXXL (Carbon Silver),4.7,4,119990.0,184900.0,SAMSUNG,55.0,SILVER,4K,Smart TV
538,LG 108 cm (43 Inches) Nanocell Series 4K Ultra HD Smart LED TV 43NANO75SQA (Black) (2022 Model),4.5,2,44990.0,61990.0,LG,43.0,BLACK,4K,Smart TV
539,LG 139 cm (55 Inches) 4K Ultra HD Smart LED QNED TV 55QNED81SQA (Black) (2022 Model),3.3,5,82990.0,119990.0,LG,55.0,BLACK,4K,Smart TV
540,"Cornea Bezelless 127 cm (50 inch) Ultra HD (4K) Smart Android LED TV, Black (2022 Model) (with No Cost EMI Offer on All Ma...",4.2,8,29999.0,39999.0,CORNEA,50.0,BLACK,ULTRA HD,Smart TV
541,iMee 108cm (43 inch) Elite Pro Series Smart Android HD LED TV with SRS Surround Sound - BEE 4 Star Rated Energy Efficient...,,,22499.0,39999.0,IMEE,43.0,,HD,Smart TV
542,Havells-Lloyd 80cm (32 Inches) HD Smart LED TV (32HS451C) Black,1.0,3,14990.0,26890.0,Generic,32.0,BLACK,HD,Smart TV
543,IVELECT 80 cm (32 inches) Android HD Ready Smart LED TV | IVELECT2023/32STV (Black) (2023 Model),3.3,5,11490.0,24499.0,Generic,32.0,BLACK,HD,Smart TV
544,LG 177 cm (70 Inches) Nanocell Series 4K Ultra HD Smart LED TV 70NANO75SQA (Black) (2022 Model),,,128990.0,179990.0,LG,70.0,BLACK,4K,Smart TV
545,Dot One 127 cm (50 Inches) 4K Ultra HD Smart LED TV 50U.1-02C9 (Black) (2022 Model),,,,,Generic,50.0,BLACK,4K,Smart TV
546,"imee 80cm (32 inch) Smart Android HD LED TV with SRS Surround Sound - BEE 4 Star Rated Energy Efficient (Elite, White, 32 ...",3.9,31,11499.0,19999.0,IMEE,32.0,WHITE,HD,Smart TV
547,Samsung 163 cm (65 inches) Ultra HD Smart LED TV UA65AU8000KLXL (Black) (2021 Model),,,107990.0,135900.0,SAMSUNG,65.0,BLACK,ULTRA HD,Smart TV
548,Samsung 139.7 cm (55 inches) 4K Ultra HD Smart LED TV UA55AU7500KLXL (Titan Gray) (2021 Model),3.1,2,,,SAMSUNG,55.0,GRAY,4K,Smart TV
549,LG 164 cm (65 inches) 4K Ultra HD Smart NanoCell TV 65NANO91TNA (Dark Steel Silver),4.2,20,222150.0,299990.0,LG,65.0,STEEL,4K,Smart TV
550,Salora 80 cm (32 Inches) HD Ready Smart LED TV SLV-4324 SL (Black) (2021 Model),4.0,1,,,Generic,32.0,BLACK,HD,Smart TV
551,Philips 127 cm (50 inches) Full HD LED TV 50PFL3950/V7 (Black),3.7,13,,62000.0,PHILIPS,50.0,BLACK,FULL HD,LED TV
552,"TELESTONE Smart LED TV | 43 Inch, 109 cm | Bezel Less Ultra Bright Display with 178 Wide Viewing Angle | Full HD Display |...",,,23199.0,39999.0,TELESTONE,43.0,,FULL HD,Smart TV
553,AKAI 140 cm (55) Frameless 4K Ultra HD Smart LED TV AL55U-FX1WS (Black) | Powered by WebOS,5.0,6,36990.0,70990.0,AKAI,55.118110236220474,BLACK,4K,Smart TV
554,LG 164 cm (65 Inches) 4K Ultra HD Smart LED TV 65UQ9000PSD (Black) (2022 Model),5.0,2,91990.0,129990.0,LG,65.0,BLACK,4K,Smart TV
556,imee 60cm (24 inch) Premium Series Normal LED TV with SRS Surround Sound - BEE 4 Star Rated Energy Efficient (Pearl White),1.0,1,8499.0,12999.0,IMEE,24.0,WHITE,,LED TV
557,BUSH android 80 cm (32 Inches) Full HD Ready Certified Smart LED TV 32SFLMAX(Black) (2022 Model),2.5,4,,,Generic,32.0,BLACK,FULL HD,Smart TV
558,Crownton 60 cm (24 Inches) Aqua Series HD Ready Smart LED TV CT2400S (Black) (2023 Model),,,6890.0,12999.0,CROWNTON,24.0,BLACK,HD,Smart TV
559,Samsung 189 cm (75 inches) The Frame Series 4K Smart QLED TV QA75LS03BAKXXL (Black),4.1,844,294990.0,424900.0,SAMSUNG,75.0,BLACK,4K,Smart TV
560,iMee 80cm (32 inch) Elite Series Smart Android HD LED TV with SRS Surround Sound - BEE 4 Star Rated Energy Efficient (Blac...,3.9,31,11999.0,19999.0,IMEE,32.0,,HD,Smart TV
561,"imee 80cm (32 inch) Smart Android HD LED TV with SRS Surround Sound - BEE 4 Star Rated Energy Efficient (Elite, Steel Gre...",3.9,31,11999.0,19999.0,IMEE,32.0,STEEL,HD,Smart TV
562,imee 80cm (32 inch) Smart Android HD LED TV with SRS Surround Sound - BEE 4 Star Rated Energy Efficient (Champagne),3.9,31,11499.0,19999.0,IMEE,32.0,,HD,Smart TV
563,LG 165.1 cm (65 Inches) 4K Ultra HD Smart LED TV 65NANO75TPZ (Black) (2021 Model),,,109899.0,169990.0,LG,65.0,BLACK,4K,Smart TV
565,LG 164 cm (65 inches) 4K Ultra HD Smart OLED TV 65GXPTA (Dark Steel Silver),2.7,5,319990.0,399990.0,LG,65.0,STEEL,4K,Smart TV
566,Samsung 108 cm (43 inches) Full HD LED Smart TV UA43T5770AUXXL (Black),5.0,3,,,SAMSUNG,43.0,BLACK,FULL HD,Smart TV
567,Haier 80 cm (32 Inches) HD Ready Smart LED TV LE32B9500WB (Black) (2019 Model),3.3,7,,,Generic,32.0,BLACK,HD,Smart TV
568,Mitashi 97.8 cm (38.5 Inches) HD Ready LED TV MiDE039v24i (Black) (2016 model),3.6,3,,,MI,38.0,BLACK,HD,LED TV
569,imee - Signature Series 4K UHD Smart Frameless LED TV with Dolby Vision & Voice Command (43 Inch in Size) (Black),,,25999.0,42999.0,IMEE,43.0,BLACK,4K,Smart TV
570,imee - Signature Series 4K UHD Smart Frameless LED TV with Dolby Vision & Voice Command (43 Inch in Size) (Gold),,,24999.0,42999.0,IMEE,43.0,GOLD,4K,Smart TV
572,T-Series 80 cm (32 inch) HD Ready LED Smart TV (S-32A),,,10990.0,19490.0,Generic,32.0,,HD,Smart TV
573,T-Series 80 cm (32 inch) HD Ready LED Smart Android TV (32TWO 300H) WebOS,,,11990.0,22990.0,Generic,32.0,,HD,Smart TV
574,LG 164 cm (65 Inches) 4K Ultra HD Smart OLED TV OLED65B2PSA (Black) (2022 Model) | With Eye Care Display,,,218999.0,239990.0,LG,65.0,BLACK,4K,Smart TV
575,MoonAir 80 cm (32 inches) HD Ready Smart LED TV 32A2010 (Black),,,,,Generic,32.0,BLACK,HD,Smart TV
576,"Cornea Bezelless 140 cm (55 inch) Ultra HD (4K) Smart Android LED TV, Black (2022 Model) (with No Cost EMI Offer on All Ma...",4.2,8,36999.0,49999.0,CORNEA,55.0,BLACK,ULTRA HD,Smart TV
577,Samsung 189 cm (75 inches) 4K Ultra HD Smart Neo QLED TV QA75QN90BAKXXL (Titan Black),4.0,18,409990.0,589900.0,SAMSUNG,75.0,BLACK,4K,Smart TV
578,Lloyd 108 cm (43 Inches) Full HD Smart LED TV | 43FS550C,,,,,Generic,43.0,,FULL HD,Smart TV
579,imee 80cm (32 inch) Smart Android HD LED TV with SRS Surround Sound - BEE 4 Star Rated Energy Efficient (White),3.9,31,11999.0,19999.0,IMEE,32.0,WHITE,HD,Smart TV
580,Crownton 60 cm (24 Inches) Aqua Series HD Ready LED TV CT2400N (Black) (2023 Model),1.0,1,5300.0,10999.0,CROWNTON,24.0,BLACK,HD,LED TV
582,Haier Bezel Less Google Android TV - Smart AI Plus 80 cm (32 inch) HD Ready LED Smart Android TV (LE-32K-6200GA),5.0,2,,,Generic,32.0,,HD,Android TV
583,Life-Smart 42 cm (17 inch) Full HD LED TV LS1700 (Black) (2021 model),2.8,6,,,Generic,17.0,BLACK,FULL HD,Smart TV
584,Samsung 214 cm (85 inches) 8K Ultra HD Smart Neo QLED TV QA85QN900AKXXL (Steel),4.0,10,1249990.0,1594900.0,SAMSUNG,85.0,STEEL,ULTRA HD,Smart TV
585,Salora 126 cm (50 Inches) 4K Ultra HD Smart LED TV SLV-4501 SU (Black) (2021 Model),4.5,2,,,Generic,50.0,BLACK,4K,Smart TV
586,Samsung 163 cm (65 Inches) 4K Ultra HD Smart QLED TV QA65Q90RAKXXL (Black),3.4,3,299900.0,399900.0,SAMSUNG,65.0,BLACK,4K,Smart TV
587,LG 195 cms (77 inches) 4K Ultra HD Smart OLED TV OLED77C9PTA (Dark Meteo Titanium),3.9,13,,,LG,77.0,,4K,Smart TV
589,LG 190.5 cm (75 inches) 75SK8000PTA 4K Super UHD LED Smart TV (Black),3.0,6,292585.0,419990.0,LG,75.0,BLACK,4K,Smart TV
590,Haier 109.3 cm (43 inches) LE43B7500/LE43B7000 Full HD LED TV,3.3,17,,,Generic,43.0,,FULL HD,LED TV
591,Philips 98 cm (39 inches) HD Ready LED TV 39PFL3830/V7 (Black),3.4,15,,31500.0,PHILIPS,39.0,BLACK,HD,LED TV
